"","Lambda","VV","VO","VB","BSV","BIV","BLV","ER","STD","RAS"
"151",1.51,0.3,0.162687458706214,0.14391854854623,0,0.0933939927475555,0.3,0.0440212190150664,0.115784594198058,0.698
"152",1.52,0.3,0.161341374410602,0.142647409400339,0,0.096011216189059,0.3,0.0439258796841679,0.115239795122443,0.696
"153",1.53,0.3,0.160012885988136,0.141392886452433,0,0.098594227559432,0.3,0.0438317866190328,0.114703131222101,0.694
"154",1.54,0.3,0.158701650662064,0.140154656010344,0,0.101143693327591,0.3,0.0437389155417566,0.114174438327114,0.692
"155",1.55,0.3,0.157407334501491,0.138932402735249,0,0.103660262763259,0.3,0.0436472428009613,0.113653556520726,0.69
"156",1.56,0.3,0.156129612137848,0.137725819373938,0,0.106144568488213,0.3,0.0435567453517147,0.113140330003357,0.688
"157",1.57,0.3,0.154868166492214,0.136534606501306,0,0.10859722700648,0.3,0.0434674007362165,0.112634606961805,0.686
"158",1.58,0.3,0.153622688512979,0.135358472272632,0,0.111018839214388,0.3,0.0433791870652183,0.112136239443404,0.684
"159",1.59,0.3,0.152392876923421,0.134197132185199,2.77555756156289e-17,0.11340999089138,0.3,0.0432920830001446,0.11164508323493,0.682
"160",1.6,0.3,0.151178437978732,0.133050308848858,0,0.11577125317241,0.3,0.0432060677358843,0.111160997746033,0.68
"161",1.61,0.3,0.149979085232114,0.131917731765143,0,0.118103183002743,0.3,0.0431211209842235,0.110683845897006,0.678
"162",1.62,0.3,0.148794539309528,0.130799137114561,0,0.120406323575911,0.3,0.0430372229578919,0.110213494010706,0.676
"163",1.63,0.3,0.147624527692741,0.129694267551715,0,0.122681204755544,0.3,0.0429543543551962,0.109749811708441,0.674
"164",1.64,0.3,0.146468784510305,0.128602872007928,0,0.124928343481767,0.3,0.0428724963452163,0.109292671809661,0.672
"165",1.65,0.3,0.14532705033614,0.127524705501037,0,0.127148244162823,0.3,0.0427916305535392,0.108841950235292,0.67
"166",1.66,0.3,0.1441990719954,0.126459528952058,0,0.129341399052542,0.3,0.0427117390485088,0.108397525914548,0.668
"167",1.67,0.3,0.143084602377302,0.125407109008458,0,0.131508288614239,0.3,0.0426328043279698,0.107959280695093,0.666
"168",1.68,0.3,0.141983400254659,0.124367217873709,0,0.133649381871632,0.3,0.0425548093064849,0.107527099256399,0.664
"169",1.69,0.3,0.140895230109798,0.123339633142923,-2.77555756156289e-17,0.135765136747278,0.3,0.0424777373030057,0.107100869026174,0.662
"170",1.7,0.3,0.139819861966642,0.122324137644263,0,0.137856000389095,0.3,0.0424015720289791,0.106680480099736,0.66
"171",1.71,0.3,0.138757071228669,0.121320519285938,0,0.139922409485393,0.3,0.0423262975768711,0.106265825162199,0.658
"172",1.72,0.3,0.137706638522532,0.120328570908524,0,0.141964790568944,0.3,0.0422518984090898,0.105856799413385,0.656
"173",1.73,0.3,0.136668349547102,0.11934809014241,0,0.143983560310488,0.3,0.0421783593472945,0.105453300495312,0.654
"174",1.74,0.3,0.135641994927712,0.118378879270159,0,0.145979125802129,0.3,0.0421056655620715,0.105055228422194,0.652
"175",1.75,0.299807208125088,0.134705628832751,0.117497112869405,0,0.147990050172755,0.3,0.042033357530366,0.10466005408807,0.65
"176",1.76,0.298995815755504,0.134031897058685,0.11687127136347,0,0.150101015822342,0.3,0.041960438172466,0.104262300300019,0.648
"177",1.77,0.298193591661283,0.133365778073025,0.116252501512969,0,0.152188128752723,0.3,0.041888342762113,0.103869784308327,0.646
"178",1.78,0.297400381320929,0.132707143570351,0.115640684132698,0,0.154251790976022,0.3,0.0418170574125504,0.103482413647313,0.644
"179",1.79,0.296616033665942,0.1320558681124,0.11503570270081,0,0.156292395520848,0.3,0.0417465685473405,0.103100097933481,0.642
"180",1.8,0.2958404009849,0.131411829048425,0.114437443284833,0,0.158310326681843,0.3,0.041676862891744,0.102722748807827,0.64
"181",1.81,0.29507333883072,0.130774906438196,0.113845794470136,0,0.160305960260948,0.3,0.0416079274643862,0.102350279880048,0.638
"182",1.82,0.294314705930982,0.13014498297753,0.113260647290765,0,0.162279663800722,0.3,0.0415397495691971,0.101982606674589,0.636
"183",1.83,0.293564364101185,0.129521943926271,0.112681895162536,0,0.164231796810007,0.3,0.0414723167876167,0.101619646578448,0.634
"184",1.84,0.292822178160844,0.128905677038611,0.112109433818309,0,0.166162710982236,0.3,0.0414056169710534,0.101261318790689,0.632
